iter	Passed	Remaining
455	917	1095
456	919	1092
457	921	1090
458	925	1090
459	926	1088
460	928	1085
461	929	1082
462	931	1080
463	933	1078
464	934	1075
465	936	1073
466	939	1072
467	940	1069
468	942	1066
469	943	1063
470	945	1062
471	947	1059
472	948	1056
473	950	1054
474	952	1053
475	954	1050
476	955	1048
477	957	1045
478	959	1043
479	960	1040
480	963	1039
481	969	1042
482	975	1043
483	979	1044
484	985	1046
485	987	1044
486	989	1042
487	993	1042
488	1002	1047
489	1018	1059
490	1020	1057
491	1022	1055
492	1027	1056
493	1032	1057
494	1034	1055
495	1036	1053
496	1040	1053
497	1042	1051
498	1044	1048
499	1047	1047
500	1053	1049
501	1055	1047
502	1063	1050
503	1065	1048
504	1067	1046
505	1070	1045
506	1074	1044
507	1077	1043
508	1084	1046
509	1086	1044
510	1092	1045
511	1095	1043
512	1098	1043
513	1111	1050
514	1179	1110
515	1182	1109
516	1184	1106
517	1188	1106
518	1192	1105
519	1195	1103
520	1198	1101
521	1200	1099
522	1202	1096
523	1207	1097
524	1209	1094
525	1241	1118
526	1243	1116
527	1248	1115
528	1250	1113
529	1253	1111
530	1255	1109
531	1259	1108
532	1261	1105
533	1263	1102
534	1266	1100
535	1268	1097
536	1270	1094
537	1273	1093
538	1275	1090
539	1293	1101
540	1294	1098
541	1296	1095
542	1300	1094
543	1303	1092
544	1305	1089
545	1307	1086
546	1309	1084
547	1311	1081
548	1313	1078
549	1317	1077
550	1319	1075
551	1321	1072
552	1323	1070
553	1349	1086
554	1351	1083
555	1353	1080
556	1355	1077
557	1360	1077
558	1362	1074
559	1364	1072
560	1366	1069
561	1372	1069
562	1378	1070
563	1381	1068
564	1386	1067
565	1395	1070
566	1448	1106
567	1451	1104
568	1453	1101
569	1455	1098
570	1462	1098
571	1465	1096
572	1469	1094
573	1471	1092
574	1476	1091
575	1478	1088
576	1482	1086
577	1483	1083
578	1486	1081
579	1495	1082
580	1503	1084
581	1511	1085
582	1523	1090
583	1527	1088
584	1532	1087
585	1534	1084
586	1541	1084
587	1547	1084
588	1549	1081
589	1558	1083
590	1561	1080
591	1576	1086
592	1580	1084
593	1582	1081
594	1594	1085
595	1597	1082
596	1604	1082
597	1619	1088
598	1626	1088
599	1634	1089
600	1638	1087
601	1641	1085
602	1643	1082
603	1649	1081
604	1651	1078
605	1656	1076
606	1658	1073
607	1660	1070
608	1667	1070
609	1670	1068
610	1678	1068
611	1681	1065
612	1684	1063
613	1686	1060
614	1689	1057
615	1693	1055
616	1695	1052
617	1698	1049
618	1700	1046
619	1702	1043
620	1704	1040
621	1707	1037
622	1709	1034
623	1711	1031
624	1713	1028
625	1714	1024
626	1717	1022
627	1719	1018
628	1723	1016
629	1725	1013
630	1726	1009
631	1728	1006
632	1731	1004
633	1733	1000
634	1734	996
635	1739	995
636	1740	991
637	1742	988
638	1745	985
639	1746	982
640	1748	979
641	1752	977
642	1754	974
643	1756	971
644	1759	968
645	1760	964
646	1762	961
647	1768	960
648	1770	957
649	1772	954
650	1774	951
651	1775	947
652	1777	944
653	1779	941
654	1783	939
655	1786	936
